	Address	CATEGORY	Date	Text	Title
0	Bhosari	THEFT	2/1/2018	A driver with a cash logistics firm, which provides money for ATMs of various banks, fled with the van carrying Rs 74.50 lakh around 1.20pm on Wednesday. The vehicle was later found abandoned without the cash in Landewadi, Bhosari.	Driver of ATM van flees with ₹74.5 lakh
1	Shivajinagar	ASSAULT	2/1/2018	The police are on the lookout for two men, who followed a 29-year-old woman assistant police inspector (API) into the Shivajinagar police colony before one of them caught hold of her hand and quarrelled with her on Tuesday morning.	Two men booked for outraging modesty of 29-yr-old woman cop
2	Katraj	MURDER	2/1/2018	CCTV footage and a timely tip-off helped the Bharati Vidyapeeth police crack the murder of Arif Kasamkhan Pathan (55), a watchman of an automobile service station in Katraj.	One held for murdering watchman
3	Daund taluka	ACCIDENT	2/1/2018	A motorcyclist and his pillion rider died after their vehicle rammed a tractor trolley, carrying sugar cane, on Monday night at Dapodi village in Daund taluka. Police have arrested the tractor driver for negligence. The deceased were residents of Kedgaon in Daund taluka.	Bike rams tractor trolley, 2 killed 
4	Sangvi	OTHERS	2/1/2018	The Sangvi police on Tuesday arrested Rajendra Ramsuchit Prajapati (29) of Vishalnagar in Sangvi for compelling his wife, Manisha (25), to end her life a day before. Manisha had set herself ablaze at the couple’s residence. The FIR states that Prajapati harassed Manisha mentally by demanding dowry from her parents.	Man held for abetting wife’s suicide 
5	Senadatta	OTHERS	2/1/2018	The Vishrambaug police on Tuesday detained a 17-yearold boy for carrying a country-made pistol and a live cartridge in Senadatta. Police team detained the boy after receiving a tip-off about his presence in the area.	17-year-old detained, firearm seized 
6	Wadmukhwadi	THEFT	2/1/2018	A purse containing Rs 81,800, which belonged to Prachi Sonawane (31) from Navi Mumbai, was stolen from a marriage hall in Wadmukhwadi on Pune-Alandi road on Sunday night. Sonawane lodged a complaint on Monday after finding her purse missing.	Purse with 82k stolen from marriage hall 
7	Pune-Mumbai Highway	THEFT	2/2/2018	A woman police naik, who rushed to the aid of an injured motorcyclist on Pune-Mumbai Highway on Wednesday, succumbed to temptation and stole Rs 50,000 from the bag of the victim as she went to hospital to receive treatment for her injuries.	Woman police naik steals ₹50k from accident victim
8	Sahakarnagar	THEFT	2/2/2018	The Sahakarnagar police has booked a serving woman police constable and two retired policemen for misappropriating and stealing 23 motorcycles, 22 cell phones and a laptop-,total worth Rs 11.13 lakh, from the police station’s seized property room since 2004.	Constable, ex-cops booked for stealing seized vehicles
9	Yerawada	VANDALISM	2/2/2018	A miscreant torched a bike belonging to Santosh Hangragi (32) from Laxminagar, at Yerawada between 1am and 2.30am on Thursday. The incident happened while the bike was parked at a mitra mandal. Santosh suffered a loss of Rs20,000. He has lodged an FIR against the miscreant with the Yerawada police station.	Bike torched 
10	Pashan-Sutarwadi	ACCIDENT	2/2/2018	The Hinjewadi police on Thursday arrested Dipen Shetiya (38) from Mumbai, for knocking down a man with his car. The incident happened at Pashan-Sutarwadi on Pune Bengaluru highway at around 9am. Police said the victim was Motilal Rai (50) from Bihar, currently staying at Sutarwadi. The driver was charged for causing the man’s death due to negligence among other offenses.	Car driver held
11	Vishrantwadi	THEFT	2/2/2018	Cash, ornaments and valuables worth Rs 42.86 lakh were stolen in three house break-ins in Pimple Nilakh, Dhayari and Vishrantwadi on Wednesday.	Valuables worth ₹42.87L stolen in 3 burglaries
12	Kondhwa	SEX OFFENSE	2/3/2018	The Kondhwa police have registered an offence against a man (30) from Solapur for outraging the modesty of his 16-year-old sisterin-law and uploading the her photographs on a social networking site.	Man booked for harassing 16-year-old sister-in-law
